"Año";"Periodo";"Precio de la luz"
"2023";"Día 1 de junio";"85,37"
"2023";"Día 2 de junio";"86,74"
"2023";"Día 3 de junio";"79,36"
"2023";"Día 4 de junio";"67,23"
"2023";"Día 5 de junio";"86,65"
"2023";"Día 6 de junio";"87,26"
"2023";"Día 7 de junio";"87,16"
"2023";"Día 8 de junio";"81,13"
"2023";"Día 9 de junio";"81,67"
"2023";"Día 10 de junio";"80,88"
"2023";"Día 11 de junio";"67,2"
"2023";"Día 12 de junio";"93,58"
"2023";"Día 13 de junio";"89,72"
"2023";"Día 14 de junio";"84,53"
"2023";"Día 15 de junio";"104,88"
"2023";"Día 16 de junio";"122,42"
"2023";"Día 17 de junio";"97,49"
"2023";"Día 18 de junio";"86,39"
"2023";"Día 19 de junio";"106,72"
"2023";"Día 20 de junio";"111,74"
"2023";"Día 21 de junio";"117,06"
"2023";"Día 22 de junio";"122,45"
"2023";"Día 23 de junio";"110,36"
"2023";"Día 24 de junio";"82,34"
"2023";"Día 25 de junio";"72,27"
"2023";"Día 26 de junio";"93,35"
"2023";"Día 27 de junio";"100,52"
"2023";"Día 28 de junio";"103,8"
"2023";"Día 29 de junio";"103,83"
"2023";"Día 30 de junio";"96,57"
"2023";"Día 1 de julio";"60,34"
"2023";"Día 2 de julio";"48,28"
"2023";"Día 3 de julio";"117,02"
"2023";"Día 4 de julio";"113,03"
"2023";"Día 5 de julio";"106,54"
"2023";"Día 6 de julio";"111,94"
"2023";"Día 7 de julio";"102,74"
"2023";"Día 8 de julio";"87,93"
"2023";"Día 9 de julio";"91,2"
"2023";"Día 10 de julio";"109,92"
"2023";"Día 11 de julio";"106,37"
"2023";"Día 12 de julio";"100,35"
"2023";"Día 13 de julio";"102,45"
"2023";"Día 14 de julio";"87,45"
"2023";"Día 15 de julio";"63"
"2023";"Día 16 de julio";"59,67"
"2023";"Día 17 de julio";"87,47"
"2023";"Día 18 de julio";"96,62"
"2023";"Día 19 de julio";"95,11"
"2023";"Día 20 de julio";"93,81"
"2023";"Día 21 de julio";"92,81"
"2023";"Día 22 de julio";"92,82"
"2023";"Día 23 de julio";"61,93"
"2023";"Día 24 de julio";"90,27"
"2023";"Día 25 de julio";"90,63"
"2023";"Día 26 de julio";"101,37"
"2023";"Día 27 de julio";"99,23"
"2023";"Día 28 de julio";"98,25"
"2023";"Día 29 de julio";"80,56"
"2023";"Día 30 de julio";"67,79"
"2023";"Día 31 de julio";"88,92"
"2023";"Día 1 de agosto";"86,65"
"2023";"Día 2 de agosto";"76,09"
"2023";"Día 3 de agosto";"64,76"
"2023";"Día 4 de agosto";"66,84"
"2023";"Día 5 de agosto";"68,95"
"2023";"Día 6 de agosto";"28,15"
"2023";"Día 7 de agosto";"74,45"
"2023";"Día 8 de agosto";"96,44"
"2023";"Día 9 de agosto";"99,77"
"2023";"Día 10 de agosto";"104,75"
"2023";"Día 11 de agosto";"113,09"
"2023";"Día 12 de agosto";"98,2"
"2023";"Día 13 de agosto";"72,82"
"2023";"Día 14 de agosto";"97,61"
"2023";"Día 15 de agosto";"95,63"
"2023";"Día 16 de agosto";"105,84"
